"unitid","institution name","year","DRVIC2022.Tuition and fees, 2022-23"
"217934","Columbia College","2022","22050"
"218070","Furman University","2022","55772"
"218238","Limestone University","2022","26300"
"218414","Newberry College","2022","29100"
"218919","Voorhees University","2022","12630"
"219091","Dakota Wesleyan University","2022","31890"
"219718","Bethel University","2022","17482"
"219833","Christian Brothers University","2022","35520"
"219949","Cumberland University","2022","26400"
"220181","Fisk University","2022","23578"
"220206","Welch College","2022","20170"
"220710","Maryville College","2022","37758"
"221351","Rhodes College","2022","52310"
"221731","Tennessee Wesleyan University","2022","27350"
"221953","Tusculum University","2022","27208"
"222877","Arlington Baptist University","2022","17480"
"222983","Austin College","2022","44950"
"223117","Baptist Missionary Association Theological Seminary","2022","8850"
"224244","Dallas Christian College","2022","20580"
"224527","East Texas Baptist University","2022","28910"
"225201","Hallmark University","2022",
"225548","Howard Payne University","2022","31650"
"225575","Huston-Tillotson University","2022","14703"
"225885","Jarvis Christian University","2022","11720"
"226231","LeTourneau University","2022","34470"
"226587","McMurry University","2022","30422"
"227429","Paul Quinn College","2022","13798"
"228042","Schreiner University","2022","35614"
"228468","Southwestern Adventist University","2022","24060"
"229267","Trinity University","2022","49264"
"230816","Bennington College","2022","61448"
"230852","Champlain College","2022","44220"
"230889","Goddard College","2022","18477"
"230995","Norwich University","2022","45340"
"231059","Saint Michael's College","2022","49840"
"231420","Averett University","2022","37790"
"231554","Bluefield University","2022","29420"
"231581","Bridgewater College","2022","39800"
"232089","Ferrum College","2022","38320"
"232308","Hollins University","2022","41210"
"233295","Randolph-Macon College","2022","46460"
"233301","Randolph College","2022","27930"
"233426","Roanoke College","2022","35350"
"233718","Sweet Briar College","2022","23590"
"234173","Virginia Wesleyan University","2022","36910"
"235422","Heritage University","2022","19500"
"237136","Appalachian Bible College","2022","17050"
"237181","Bethany College","2022","32640"
"238476","Carthage College","2022","34500"
"238980","Lakeland University","2022","31786"
"239080","Marian University","2022","30000"
"239318","Milwaukee School of Engineering","2022","46506"
"239628","Ripon College","2022","49600"
"239716","Saint Norbert College","2022","43204"
"240338","Wisconsin Lutheran College","2022","33762"
"245652","St. John's College","2022","37090"
"245953","Mid-America Christian University","2022","18838"
"363712","Yeshivah Gedolah Rabbinical College","2022","8800"
"367884","Hodges University","2022","15500"
"385619","Everglades University","2022","20000"
"399911","Soka University of America","2022","35544"
"426314","Embry-Riddle Aeronautical University-Worldwide","2022","11185"
"433387","Western Governors University","2022","8010"
"433536","Herzing University-New Orleans","2022","12750"
"440794","Pillar College","2022","23668"
"443340","Williamson Christian College","2022","13940"
"444398","Baptist University of the Americas","2022","6768"
"445267","Central Methodist University-College of Graduate and Extended Studies","2022","6960"
"446233","Ecclesia College","2022","16850"
"447953","SUM Bible College and Theological Seminary","2022","10730"
"456481","Polytechnic University of Puerto Rico-Miami","2022","13827"
"456490","Polytechnic University of Puerto Rico-Orlando","2022","13827"
"457402","University of Fort Lauderdale","2022","7410"
"457484","Pacific Rim Christian University","2022","12380"
"457697","City Vision University","2022","6000"
"459842","Herzing University-Kenosha","2022","12750"
"461032","Carolina College of Biblical Studies","2022","6276"
"461759","Simmons College of Kentucky","2022","16398"
"461795","North American University","2022","12300"
"464226","Ottawa University-Surprise","2022","33000"
"474863","Los Angeles Pacific University","2022","11400"
"475398","Catholic Distance University","2022","8880"
"475608","Criswell College","2022","13350"
"480569","Florida Institute of Technology-Online","2022","12240"
"480985","Midwives College of Utah","2022","7919"
"486284","Bethany Global University","2022","16270"
"487603","Northwest University-Center for Online and Extended Education","2022","12210"
"488785","University of Saint Katherine","2022","28800"
"490230","Reformed University","2022","5360"
"497408","Bridges Christian College","2022","6600"
"497480","Reach University","2022","12374"
