"unitid","institution name","year","DRVEF122022_RV.Total 12-month unduplicated headcount","SAL2022_NIS.Full-time non-instructional staff - number","DRVOM2022_RV.Percent full-time first-time receiving an award - 4 years","DRVOM2022_RV.Percent full-time first-time receiving an award - 6 years","DRVOM2022_RV.Percent full-time first-time receiving an award - 8 years","DRVOM2022_RV.Percent part-time first-time receiving an award - 4 years","DRVOM2022_RV.Percent part-time first-time receiving an award - 6 years","DRVOM2022_RV.Percent part-time first-time receiving an award - 8 years"
"194392","Paul Smiths College of Arts and Science","2022","792","89","51","56","57",,,
"194578","Pratt Institute-Main","2022","6815","623","63","71","72","0","0","0"
"194666","Rabbinical College Bobover Yeshiva Bnei Zion","2022","478","5","0","87","87",,,
"195164","St Bonaventure University","2022","2885","326","69","74","74",,,
"195173","St. Francis College","2022","2714","201","32","54","56","0","13","25"
"195216","St Lawrence University","2022","2345","516","76","80","80",,,
"195234","The College of Saint Rose","2022","4384","280","47","59","59",,,
"195243","St. Thomas Aquinas College","2022","2452","116","50","63","63","17","17","17"
"195304","Sarah Lawrence College","2022","1881","212","66","72","73",,,
"195438","Sh'or Yoshuv Rabbinical College","2022","384","14","0","14","14",,,
"195474","Siena College","2022","3817","404","76","81","81","100","100","100"
"195544","St. Joseph's University-New York","2022","5303","267","58","70","70","5","18","23"
"196440","Talmudical Institute of Upstate New York","2022","15",,"0","0","0",,,
"197133","Vassar College","2022","2581","708","82","88","88",,,
"197692","Yeshivath Shaar Hatorah","2022","90","4","35","47","65",,,
"197911","Barton College","2022","1345","147","44","52","52","0","0","0"
"197984","Belmont Abbey College","2022","1696","167","38","44","45","0","0","0"
"198066","Brevard College","2022","821","131","32","40","40",,,
"198215","Catawba College","2022","1441","192","48","54","54","0","0","0"
"198303","Chowan University","2022","1056","117","15","30","30",,,
"198598","Greensboro College","2022","979","85","23","33","34",,,
"198613","Guilford College","2022","1325","170","38","49","49","0","13","25"
"198677","Heritage Bible College","2022","38","5","17","17","17","0","0","0"
"198756","Johnson C Smith University","2022","1295","149","26","41","43","0","0","0"
"198808","Lees-McRae College","2022","927","104","38","43","43","0","0","0"
"198862","Livingstone College","2022","1006","134","17","28","28","0","0","0"
"198899","Mars Hill University","2022","1103","120","29","35","36","0","0","0"
"198950","Meredith College","2022","1856","270","57","64","65",,,
"199032","Montreat College","2022","1175","93","27","31","35","29","39","39"
"199069","University of Mount Olive","2022","2775","147","44","49","50","31","40","40"
"199209","North Carolina Wesleyan University","2022","1904","146","24","31","32","28","38","40"
"199306","Pfeiffer University","2022","1289","96","33","43","43",,,
"199412","Queens University of Charlotte","2022","2394","271","50","57","58","0","100","100"
"199582","Saint Augustine's University","2022","1334","141","56","59","59","21","31","33"
"199607","Salem College","2022","559","105","65","66","67","20","20","20"
"199643","Shaw University","2022","1271","144","8","18","21","0","0","15"
"199698","St. Andrews University","2022","1186","83","26","33","33","0","0","0"
"199865","Warren Wilson College","2022","893","129","33","41","41",,,
"201061","Art Academy of Cincinnati","2022","251","41","42","47","47","0","0","0"
"201195","Baldwin Wallace University","2022","3770","417","56","70","71",,,
"201371","Bluffton University","2022","856","76","50","55","56",,,
"201964","Ohio Christian University","2022","2153","88","27","37","38","10","10","15"
"202170","Columbus College of Art & Design","2022","1026","92","57","62","62","0","0","0"
"202514","Defiance College","2022","623","79","40","44","45","17","17","20"
"202903","Gods Bible School and College","2022","446","48","26","38","43","0","20","20"
"203085","Heidelberg University","2022","1281","154","46","52","52","0","0","0"
"203128","Hiram College","2022","1388","123","40","49","49","0","0","0"
"203368","John Carroll University","2022","3463","284","67","75","76","0","50","50"
"203580","Lake Erie College","2022","1124","89","44","48","49",,,
"203775","Malone University","2022","1616","142","46","54","55","33","50","50"
"203845","Marietta College","2022","1400","211","49","55","56",,,
"204194","Mount Vernon Nazarene University","2022","2720","215","54","62","64","0","0","0"
"204501","Oberlin College","2022","3046","473","77","86","87",,,
"204617","Ohio Dominican University","2022","1609","113","41","52","52","0","0","17"
"205027","Pontifical College Josephinum","2022","209","29","60","70","70",,,
"205957","Franciscan University of Steubenville","2022","4092","202","69","78","78","0","0","0"
"206491","Wilberforce University","2022","789","83","11","17","19",,,
"206507","Wilmington College","2022","1146","121","44","52","52",,,
"206525","Wittenberg University","2022","1400","200","58","63","64",,,
"207157","Randall University","2022","331","19","8","21","21","0","0","0"
"207324","Oklahoma Christian University","2022","2808","184","46","60","60","0","0","0"
"207403","Oklahoma Baptist University","2022","1563","180","48","55","56","0","0","0"
"207856","Southwestern Christian University","2022","492","40","19","32","32","0","0","0"
"209065","Linfield University","2022","2015","233","63","75","76","33","33","33"
"209409","Bushnell University","2022","858","82","49","51","51",,,
"209603","Pacific Northwest College of Art","2022","536",,"27","40","42","0","0","0"
"209922","Reed College","2022","1612","338","62","77","78","0","100","100"
"210492","Bryn Athyn College of the New Church","2022","280","44","28","32","32",,,
"210571","Albright College","2022","1863","203","52","59","61",,,
"211291","Bucknell University","2022","3847","903","84","88","88",,,
"211893","Curtis Institute of Music","2022","151","62","46","85","92",,,
"212009","Dickinson College","2022","2249","553","81","84","84",,,
"212656","Geneva College","2022","1432","158","67","72","73","67","67","67"
"212674","Gettysburg College","2022","2542","505","80","85","85",,,
"213251","Juniata College","2022","1398","208","70","74","75",,,
"213303","Keystone College","2022","2094","97","40","51","52","13","25","38"
"213987","Mercyhurst University","2022","3520","244","57","63","65","70","80","90"
"214148","Moore College of Art and Design","2022","397","53","51","55","55",,,
"214166","Mount Aloysius College","2022","2924","121","42","47","49","38","42","42"
"214175","Muhlenberg College","2022","2214","362","81","86","86",,,
"214883","Peirce College","2022","1363","66","13","13","13","7","12","12"
"214971","Pennsylvania Academy of the Fine Arts","2022","203","61","61","65","65",,,
"215114","Cairn University-Langhorne","2022","1705","100","28","55","56",,,
"215691","Rosemont College","2022","791","74","38","45","45",,,
"216047","Saint Charles Borromeo Seminary-Overbrook","2022","208","32","57","57","57",,,
"216278","Susquehanna University","2022","2650","296","72","75","75",,,
"216357","Thiel College","2022","882","144","40","50","50","0","0","0"
"216542","University of Valley Forge","2022","679","43","37","44","46","0","0","0"
"216667","Washington & Jefferson College","2022","1188","219","64","68","69",,,
"216807","Westminster College","2022","1442","155","91","97","97","0","0","0"
"217013","Wilson College","2022","2145","96","39","49","50",,,
"217165","Bryant University","2022","3811","482","78","83","83",,,
"217402","Providence College","2022","5039","571","82","85","85","25","25","25"
"217493","Rhode Island School of Design","2022","2655","663","71","91","93",,,
"217518","Roger Williams University","2022","4998","560","61","68","69","100","100","100"
"217606","Northpoint Bible College","2022","256","24","31","47","47","0","0","0"
"217721","Benedict College","2022","2031","201","14","25","26","25","35","35"
"217873","Claflin University","2022","2127","174","31","48","51",,,
