"unitid","institution name","year","OM2022.Cohort category","OM2022_RV.Adjusted 2014-15 cohort","IDX_OM"
"169479","Davenport University","2022","Total entering, Total","2341","-2"
"169983","Kettering University","2022","Total entering, Total","417","-2"
"170000","Grace Christian University","2022","Total entering, Total","487","-2"
"170967","Rochester University","2022","Total entering, Total","416","-2"
"171599","The University of Olivet","2022","Total entering, Total","324","-2"
"171881","Kuyper College","2022","Total entering, Total","97","-2"
"172033","Sacred Heart Major Seminary","2022","Total entering, Total","69","-2"
"172264","Siena Heights University","2022","Total entering, Total","1190","-2"
"173142","Bethany Lutheran College","2022","Total entering, Total","167","-2"
"173300","Concordia College at Moorhead","2022","Total entering, Total","596","-2"
"173452","Martin Luther College","2022","Total entering, Total","225","-2"
"174127","Minneapolis College of Art and Design","2022","Total entering, Total","202","-2"
"174154","Herzing University-Minneapolis","2022","Total entering, Total","159","-2"
"174437","North Central University","2022","Total entering, Total","351","-2"
"174491","University of Northwestern-St Paul","2022","Total entering, Total","630","-2"
"174792","Saint Johns University","2022","Total entering, Total","487","-2"
"174862","Crown College","2022","Total entering, Total","228","-2"
"175430","Blue Mountain Christian University","2022","Total entering, Total","201","-2"
"175980","Millsaps College","2022","Total entering, Total","270","-2"
"176406","Tougaloo College","2022","Total entering, Total","268","-2"
"176628","Avila University","2022","Total entering, Total","403","-2"
"176664","Mission University","2022","Total entering, Total","114","-2"
"176910","Central Christian College of the Bible","2022","Total entering, Total","160","-2"
"177065","Columbia College","2022","Total entering, Total","7040","-2"
"177144","Culver-Stockton College","2022","Total entering, Total","413","-2"
"177214","Drury University","2022","Total entering, Total","419","-2"
"177542","Hannibal-LaGrange University","2022","Total entering, Total","520","-2"
"178369","Missouri Valley College","2022","Total entering, Total","655","-2"
"178679","Ozark Christian College","2022","Total entering, Total","208","-2"
"178721","Park University","2022","Total entering, Total","2678","-2"
"179548","Stephens College","2022","Total entering, Total","300","-2"
"179955","William Jewell College","2022","Total entering, Total","336","-2"
"180106","Carroll College","2022","Total entering, Total","458","-2"
"180258","University of Providence","2022","Total entering, Total","449","-2"
"180984","Concordia University-Nebraska","2022","Total entering, Total","400","-2"
"181127","Hastings College","2022","Total entering, Total","436","-2"
"181446","Nebraska Wesleyan University","2022","Total entering, Total","603","-2"
"181738","Union Adventist University","2022","Total entering, Total","245","-2"
"181853","York University","2022","Total entering, Total","147","-2"
"183239","Saint Anselm College","2022","Total entering, Total","558","-2"
"183822","Bloomfield College","2022","Total entering, Total","722","-2"
