UnitID,Institution Name,Total expenses-Total amount (F2122_F2),Total expenses-Total amount (F2021_F2),Total expenses-Total amount (F1920_F2),Total expenses-Total amount (F1819_F2),
117168,Laguna College of Art and Design,19428458,17935963,18096498,16516565,
203580,Lake Erie College,24436504,22592748,22298033,20970853,
146481,Lake Forest College,61445953,53854620,61991498,59874388,
238980,Lakeland University,39280034,38936003,39462182,33438227,
166391,Lasell University,56489091,54071966,58502289,62367702,
198808,Lees-McRae College,26145624,21310614,20421702,20979157,
226231,LeTourneau University,54128122,49444803,51635839,53502413,
117104,Life Pacific University,14053645,11420160,11758443,11769443,
218238,Limestone University,46159096,38641489,38345268,36161109,
209065,Linfield University,67509679,62274811,63305599,66399583,
198862,Livingstone College,34310687,34094663,31541036,30248292,
153825,Loras College,41515179,38739746,41339817,40955107,
474863,Los Angeles Pacific University,21781867,24229343,23606917,21529486,
159568,Louisiana Christian University,25723091,25040091,24888320,24169838,
106342,Lyon College,26855414,25030420,26695592,27439017,
161509,Maine College of Art & Design,17317068,16238366,16101767,15480952,
203775,Malone University,27623864,26585890,29303789,32864139,
192703,Manhattan College,136875016,137474952,137816907,142834957,
239080,Marian University,25727425,27614803,30641668,32133969,
203845,Marietta College,52188529,49770773,50740343,49719743,
198899,Mars Hill University,32496673,33983637,31575891,32109998,
173452,Martin Luther College,28738580,22669386,20378413,21400661,
151810,Martin University,5688964,5600575,5496006,5056564,
163295,Maryland Institute College of Art,91694426,74697647,92621430,88619267,
220710,Maryville College,35930490,31966388,33399497,33863061,
164270,McDaniel College,70587000,65373000,66288000,61651000,
226587,McMurry University,32458946,27436646,27963809,25958900,
155511,McPherson College,22201036,20310640,20103487,19341297,
118693,Menlo College,30267398,23142938,27867009,28247841,
153977,Mercy College of Health Sciences,19488000,18256000,16926450,14736332,
213987,Mercyhurst University,96440669,92149036,87973452,84569366,
198950,Meredith College,58225235,55209505,57792051,57568422,
166850,Merrimack College,160145424,145972645,138537866,132231096,
147129,Methodist College,11215950,12971556,11454809,12537922,
190114,Metropolitan College of New York,26337590,25929796,27302365,28257602,
245953,Mid-America Christian University,30452321,25275014,24369061,26055530,
155520,MidAmerica Nazarene University,35996381,32207980,32288464,34056918,
157377,Midway University,21981136,20239357,20095752,18682892,
480985,Midwives College of Utah,1644728,1368458,1467228,1553692,
175980,Millsaps College,35878562,32138107,33782593,37587099,
239318,Milwaukee School of Engineering,92351236,80068180,77659579,77151440,
174127,Minneapolis College of Art and Design,27091306,22771709,23413993,22885308,
176664,Mission University,5462633,4930960,4692510,4828220,
178369,Missouri Valley College,23308987,21993093,22644798,21459131,
199032,Montreat College,29735167,23225836,19645823,19854138,
214148,Moore College of Art and Design,17506963,16744974,16412326,15830460,
214166,Mount Aloysius College,29592832,28163311,27540491,27508942,
166939,Mount Holyoke College,153435415,126532027,147659547,151780120,
193353,Mount Saint Mary College,53342209,53728898,58650389,59275478,
163462,Mount St. Mary's University,79550960,72053250,69244297,72216691,
204194,Mount Vernon Nazarene University,40117065,36075381,36256767,38679795,
214175,Muhlenberg College,98456033,98540945,104582219,105382037,
127653,Naropa University,26261621,22922377,25630087,23140907,
181446,Nebraska Wesleyan University,44765000,40936000,43738000,42578000,
194116,New York School of Interior Design,16757265,15815099,15833706,14974900,
218414,Newberry College,38009786,32394321,31002302,30637040,
167260,Nichols College,38816563,37394148,37883631,38675262,
